agent,tf,test_type,enabled,native,profile,total,wr,balance,return_pct,max_dd,avg_win,avg_loss,avg_win_pct,avg_loss_pct,max_losers_row,trailed_wins,trailed_losses,long_pnl,short_pnl,nlongs,nshorts,avg_bars,elapsed
hurst_regime,15m,confirmed,False,False,hurst_regime,14225,47.9,11.04,-89.0,93.7,0.23,-0.23,0.752,-0.763,24,2219,1,-56.33,-32.63,7476,6749,14.0,143.1
hurst_regime,30m,standard,False,False,hurst_regime,5642,47.1,28.04,-72.0,79.3,0.24,-0.24,0.681,-0.702,22,794,6,-34.43,-37.53,2786,2856,7.1,39.1
hurst_regime,30m,confirmed,False,False,hurst_regime,3684,47.1,61.2,-38.8,58.1,0.33,-0.32,0.719,-0.7,18,579,5,-25.9,-12.91,1599,2085,7.1,39.1
hurst_regime,1H,standard,False,False,hurst_regime,15463,48.0,9.15,-90.8,92.8,0.18,-0.18,0.739,-0.754,25,2475,10,-35.35,-55.49,7646,7817,3.5,114.1
hurst_regime,1H,confirmed,False,False,hurst_regime,11575,47.9,17.37,-82.6,87.9,0.21,-0.21,0.739,-0.749,25,1837,9,-47.36,-35.27,5750,5825,3.5,113.6
kalman_trend,5m,standard,True,False,kalman_trend,1717,61.5,39.18,-60.8,64.5,0.34,-0.64,1.083,-1.996,6,1054,0,-39.92,-20.9,862,855,95.9,10.4
kalman_trend,15m,standard,True,False,kalman_trend,1897,63.3,22.17,-77.8,78.4,0.26,-0.56,0.915,-1.991,10,1199,0,-48.85,-28.98,938,959,28.9,10.1
kalman_trend,15m,confirmed,True,False,kalman_trend,1687,63.5,27.01,-73.0,74.0,0.28,-0.6,0.91,-1.99,8,1070,0,-47.53,-25.46,833,854,29.4,10.1
kalman_trend,30m,standard,True,False,kalman_trend,197,65.5,93.1,-6.9,19.6,0.43,-0.93,0.916,-1.932,4,129,0,-12.74,5.85,97,100,26.1,0.7
kalman_trend,30m,confirmed,True,False,kalman_trend,166,68.1,101.21,1.2,17.3,0.44,-0.92,0.926,-1.913,5,113,0,-3.18,4.38,75,91,24.7,0.7
kalman_trend,1H,standard,True,False,kalman_trend,1998,64.7,83.77,-16.2,57.7,0.59,-1.1,1.07,-1.986,13,1290,0,-2.81,-13.43,1022,976,7.1,9.2
kalman_trend,1H,confirmed,True,False,kalman_trend,1827,64.6,84.6,-15.4,54.5,0.59,-1.1,1.072,-1.985,13,1178,0,-8.15,-7.25,930,897,7.2,9.2
utbot_mtf,15m,standard,True,True,utbot_mtf,1561,75.6,39.13,-60.9,61.2,0.14,-0.64,0.439,-2.028,6,1167,0,-29.36,-31.51,724,837,22.7,88.1
utbot_mtf,15m,confirmed,True,True,utbot_mtf,1367,76.0,44.96,-55.0,55.7,0.15,-0.7,0.433,-2.038,6,1027,0,-27.92,-27.11,644,723,22.4,84.7
utbot_mtf,30m,standard,True,False,utbot_mtf,571,78.5,85.26,-14.7,23.3,0.21,-0.93,0.458,-2.047,5,446,0,-5.65,-9.08,259,312,9.4,26.5
utbot_mtf,30m,confirmed,True,False,utbot_mtf,492,78.5,89.65,-10.4,22.2,0.22,-0.96,0.48,-2.075,6,384,0,-2.76,-7.59,195,297,9.3,26.5
utbot_mtf,1H,standard,True,False,utbot_mtf,1829,79.7,162.38,62.4,40.2,0.38,-1.42,0.577,-2.155,9,1447,0,36.52,25.86,852,977,5.1,76.6
utbot_mtf,1H,confirmed,True,False,utbot_mtf,1666,79.1,130.37,30.4,38.8,0.33,-1.26,0.569,-2.165,8,1309,0,14.88,15.49,780,886,5.2,77.6
utbot_v3,15m,standard,True,True,utbot_v3,1038,62.9,157.83,57.8,34.4,1.28,-2.05,1.744,-2.71,10,614,0,7.4,50.43,491,547,103.7,87.8
utbot_v3,15m,confirmed,True,True,utbot_v3,933,64.0,179.33,79.3,29.0,1.38,-2.24,1.727,-2.713,11,563,0,30.83,48.5,445,488,102.8,88.0
utbot_v3,30m,standard,True,False,utbot_v3,327,56.0,60.76,-39.2,42.8,0.57,-1.0,1.606,-2.7,7,174,0,-15.68,-23.57,149,178,53.4,27.5
utbot_v3,30m,confirmed,True,False,utbot_v3,274,56.9,70.31,-29.7,41.7,0.59,-1.03,1.591,-2.668,7,147,0,-7.05,-22.63,102,172,51.4,27.6
utbot_v3,1H,standard,True,False,utbot_v3,889,59.4,26.19,-73.8,79.7,0.4,-0.79,1.429,-2.809,11,494,0,-45.48,-28.32,363,526,23.3,79.9
utbot_v3,1H,confirmed,True,False,utbot_v3,818,59.5,30.44,-69.6,76.7,0.43,-0.84,1.444,-2.811,9,458,0,-47.16,-22.4,336,482,22.8,80.7
volume_profile,5m,standard,True,False,volume_profile,328,50.3,81.62,-18.4,18.5,0.19,-0.3,0.411,-0.672,7,139,0,-11.33,-7.05,162,166,22.9,23.6
volume_profile,15m,standard,True,True,volume_profile,323,57.0,90.54,-9.5,10.2,0.2,-0.34,0.415,-0.695,6,152,0,-3.84,-5.62,172,151,7.6,22.8
volume_profile,30m,standard,True,False,volume_profile,126,50.0,92.25,-7.8,8.6,0.21,-0.34,0.433,-0.687,8,48,0,-4.89,-2.86,75,51,3.8,7.3
volume_profile,30m,confirmed,True,False,volume_profile,8,37.5,98.56,-1.4,1.4,0.06,-0.32,0.118,-0.649,2,0,0,-0.8,-0.64,2,6,4.8,7.2
volume_profile,1H,standard,True,False,volume_profile,383,52.2,90.66,-9.3,10.5,0.23,-0.31,0.501,-0.66,7,168,1,-4.56,-4.77,209,174,2.1,21.2
fibonacci,5m,standard,True,False,fibonacci,815,45.6,50.59,-49.4,54.5,0.75,-0.75,1.977,-1.959,13,177,0,-43.42,-5.99,304,511,120.1,8.0
fibonacci,15m,standard,True,False,fibonacci,2325,45.6,28.38,-71.6,74.3,0.46,-0.44,1.805,-1.702,40,375,0,-77.62,6.0,1041,1284,42.8,15.0
fibonacci,15m,confirmed,True,False,fibonacci,201,46.3,109.71,9.7,13.7,1.06,-0.83,2.107,-1.618,11,47,0,6.31,3.4,81,120,42.2,14.6
fibonacci,30m,standard,True,False,fibonacci,1033,50.0,66.47,-33.5,64.9,0.49,-0.56,1.348,-1.504,34,97,0,-15.04,-18.49,488,545,21.9,5.8
fibonacci,30m,confirmed,True,False,fibonacci,198,60.1,123.53,23.5,13.6,0.69,-0.76,1.302,-1.445,15,18,0,6.4,17.13,54,144,22.5,5.7
fibonacci,1H,standard,True,False,fibonacci,2839,51.5,272.27,172.3,77.1,1.41,-1.39,1.461,-1.405,48,327,0,-76.6,248.87,1307,1532,11.1,19.6
fibonacci,1H,confirmed,True,False,fibonacci,284,51.8,116.72,16.7,18.2,0.81,-0.75,1.619,-1.513,15,42,0,5.14,11.58,118,166,10.9,19.6
fib_confluence,5m,standard,True,False,fibonacci,7196,48.7,142.91,42.9,85.7,1.66,-1.57,1.723,-1.609,36,1040,0,9.72,33.19,3971,3225,130.1,20.8
fib_confluence,15m,standard,True,False,fibonacci,9335,48.0,290.82,190.8,88.7,3.22,-2.97,1.61,-1.438,44,1179,1,-910.48,1101.3,5133,4202,44.5,24.9
fib_confluence,15m,confirmed,True,False,fibonacci,2888,48.1,202.72,102.7,51.9,1.8,-1.61,1.629,-1.406,23,368,0,67.04,35.68,1719,1169,44.9,23.8
fib_confluence,30m,standard,True,False,fibonacci,2654,47.3,30.23,-69.8,84.4,0.42,-0.43,1.319,-1.358,36,252,0,-58.11,-11.67,1423,1231,22.4,7.9
fib_confluence,30m,confirmed,True,False,fibonacci,883,49.2,112.02,12.0,42.2,0.67,-0.64,1.324,-1.243,41,78,0,-3.12,15.14,349,534,22.6,7.7
fib_confluence,1H,standard,True,False,fibonacci,6361,50.4,148.33,48.3,85.8,0.8,-0.81,1.303,-1.304,54,618,1,-140.44,188.77,3369,2992,11.3,25.0
fib_confluence,1H,confirmed,True,False,fibonacci,1806,53.3,339.35,239.4,44.0,1.11,-1.0,1.44,-1.361,20,220,0,115.36,123.99,964,842,11.3,24.0
fib_786_oversold,5m,standard,True,False,fibonacci,182,42.9,89.62,-10.4,23.5,1.01,-0.87,2.337,-1.946,11,31,0,-10.38,0,182,0,124.6,22.0
fib_786_oversold,15m,standard,True,False,fibonacci,205,44.4,75.36,-24.6,29.8,0.73,-0.81,1.741,-1.882,14,35,0,-24.64,0,205,0,42.7,22.2
fib_786_oversold,30m,standard,True,False,fibonacci,38,23.7,94.94,-5.1,7.8,0.81,-0.43,1.641,-0.861,15,3,0,-5.06,0,38,0,23.6,3.2
fib_786_oversold,1H,standard,True,False,fibonacci,216,42.1,70.18,-29.8,37.9,0.58,-0.67,1.161,-1.411,27,7,0,-29.82,0,216,0,11.2,19.2
williams_r,5m,standard,True,False,williams_r,668,51.2,108.84,8.8,11.9,0.55,-0.55,0.992,-0.982,9,133,0,-10.29,19.13,348,320,38.4,21.2
williams_r,15m,standard,True,False,williams_r,806,48.4,93.47,-6.5,24.5,0.51,-0.49,0.994,-0.967,15,169,0,-10.16,3.63,387,419,12.7,21.7
williams_r,15m,confirmed,True,False,williams_r,60,55.0,102.25,2.2,4.0,0.59,-0.64,1.18,-1.268,3,18,0,-2.45,4.7,27,33,10.8,21.7
williams_r,30m,standard,True,False,williams_r,101,49.5,96.04,-4.0,8.0,0.38,-0.46,0.77,-0.927,10,10,0,-4.31,0.35,47,54,6.5,3.4
williams_r,30m,confirmed,True,False,williams_r,21,47.6,99.85,-0.2,2.0,0.33,-0.31,0.664,-0.629,3,1,0,0.0,-0.16,5,16,7.3,3.4
williams_r,1H,standard,True,False,williams_r,913,51.6,98.07,-1.9,28.9,0.43,-0.46,0.955,-1.024,20,166,0,-14.57,12.64,366,547,3.2,20.4
williams_r,1H,confirmed,True,False,williams_r,78,61.5,112.64,12.6,4.1,0.58,-0.51,1.111,-0.973,6,20,0,-1.5,14.14,27,51,3.4,20.5
fib_hotzone,5m,standard,True,False,fibonacci,512,49.8,120.85,20.9,23.8,1.3,-1.22,2.085,-1.904,7,91,0,40.75,-19.89,275,237,124.7,22.0
fib_hotzone,15m,standard,True,False,fibonacci,366,55.7,193.2,93.2,7.4,1.38,-1.16,1.93,-1.583,7,53,0,21.37,71.83,207,159,43.6,22.7
fib_hotzone,15m,confirmed,True,False,fibonacci,54,57.4,118.53,18.5,3.0,1.25,-0.87,2.314,-1.604,3,13,0,6.99,11.54,32,22,41.8,22.4
fib_hotzone,30m,standard,True,False,fibonacci,45,68.9,115.99,16.0,3.7,0.73,-0.51,1.361,-0.938,3,5,0,10.17,5.82,30,15,23.6,3.3
fib_hotzone,30m,confirmed,True,False,fibonacci,11,90.9,109.33,9.3,0.2,0.95,-0.16,1.828,-0.312,1,1,0,1.82,7.52,3,8,24.0,3.4
fib_hotzone,1H,standard,True,False,fibonacci,60,53.3,110.28,10.3,5.4,0.74,-0.5,1.381,-0.9,6,3,0,10.91,-0.63,27,33,11.5,20.0
fib_hotzone,1H,confirmed,True,False,fibonacci,14,50.0,101.87,1.9,1.7,0.61,-0.41,1.222,-0.798,3,1,0,2.19,-0.32,6,8,11.4,20.1
viki,5m,standard,True,False,viki,162,64.2,61.95,-38.0,45.2,1.03,-2.5,2.599,-6.17,4,102,0,-30.36,-7.69,86,76,397.1,3.5
viki,15m,standard,True,True,viki,207,68.6,68.6,-31.4,45.2,0.96,-2.59,2.497,-6.463,5,139,0,-9.85,-21.55,101,106,119.8,3.3
viki,15m,confirmed,True,True,viki,172,68.0,72.62,-27.4,38.0,1.03,-2.7,2.574,-6.485,5,115,0,-5.78,-21.6,84,88,120.4,3.3
viki,30m,standard,True,False,viki,51,72.5,107.97,8.0,8.1,1.25,-2.73,2.397,-5.111,2,33,0,0.39,7.58,20,31,100.6,0.5
viki,30m,confirmed,True,False,viki,34,79.4,114.52,14.5,6.9,1.17,-2.45,2.25,-4.677,2,24,0,1.06,13.46,11,23,97.8,0.5
viki,1H,standard,True,False,viki,203,67.5,70.11,-29.9,37.8,0.98,-2.49,2.606,-6.331,4,135,0,-22.25,-7.65,88,115,27.3,3.0
viki,1H,confirmed,True,False,viki,169,66.3,68.35,-31.7,38.8,1.0,-2.51,2.615,-6.32,5,112,0,-20.27,-11.38,69,100,27.8,3.0
macd_cross,5m,standard,True,False,macd_cross,1506,45.9,48.47,-51.5,59.9,0.76,-0.71,1.982,-1.843,10,350,0,-28.62,-22.91,712,794,105.4,24.6
macd_cross,15m,standard,True,False,macd_cross,1652,48.4,84.18,-15.8,34.1,0.86,-0.83,1.914,-1.82,13,445,0,-39.59,23.77,778,874,33.8,24.6
macd_cross,15m,confirmed,True,False,macd_cross,1423,49.1,122.39,22.4,32.2,1.18,-1.12,1.95,-1.809,12,394,0,-26.05,48.44,669,754,33.8,24.9
macd_cross,30m,standard,True,False,macd_cross,173,41.0,77.71,-22.3,25.8,0.62,-0.66,1.389,-1.463,12,27,0,-20.34,-1.94,74,99,19.3,1.7
macd_cross,30m,confirmed,True,False,macd_cross,141,41.8,80.58,-19.4,23.2,0.64,-0.7,1.403,-1.523,7,25,0,-17.95,-1.47,47,94,18.8,1.7
macd_cross,1H,standard,True,False,macd_cross,1702,49.2,50.51,-49.5,84.5,0.8,-0.83,1.808,-1.898,37,453,0,-79.25,29.75,776,926,8.4,22.6
macd_cross,1H,confirmed,True,False,macd_cross,1515,50.1,74.09,-25.9,79.5,0.87,-0.91,1.824,-1.895,24,413,0,-63.1,37.19,670,845,8.4,22.6
vwap_reversion,5m,standard,False,False,meanrev,896,51.8,95.42,-4.6,33.7,0.57,-0.63,1.334,-1.455,14,98,0,-5.4,0.82,435,461,86.6,23.3
vwap_reversion,15m,standard,False,True,meanrev,1236,49.5,104.54,4.5,38.2,0.79,-0.78,1.287,-1.248,18,121,0,-29.91,34.45,602,634,29.4,22.7
vwap_reversion,30m,standard,False,False,meanrev,472,50.6,99.47,-0.5,23.5,0.61,-0.64,1.175,-1.224,15,46,0,-10.94,10.41,275,197,14.9,6.8
vwap_reversion,30m,confirmed,False,False,meanrev,34,52.9,96.17,-3.8,5.9,0.35,-0.67,0.726,-1.382,5,1,0,-5.47,1.64,6,28,15.8,6.9
vwap_reversion,1H,standard,False,False,meanrev,1360,48.1,37.22,-62.8,76.5,0.31,-0.39,1.272,-1.464,24,149,0,-47.58,-15.2,657,703,7.2,20.4
rsi_divergence,5m,standard,True,False,swing,910,43.3,65.5,-34.5,50.3,0.82,-0.7,1.806,-1.537,12,355,92,-6.37,-28.13,493,417,147.1,22.5
rsi_divergence,15m,standard,True,True,swing,1286,45.3,41.91,-58.1,63.0,0.51,-0.51,1.553,-1.525,21,504,129,-36.33,-21.75,669,617,51.3,21.7
rsi_divergence,15m,confirmed,True,True,swing,691,46.9,78.9,-21.1,41.9,0.73,-0.7,1.554,-1.496,13,274,74,-20.34,-0.76,347,344,52.5,20.7
rsi_divergence,30m,standard,True,False,swing,488,38.7,33.91,-66.1,69.9,0.38,-0.47,1.221,-1.509,21,157,56,-45.85,-20.23,225,263,26.1,6.2
rsi_divergence,30m,confirmed,True,False,swing,324,37.0,48.58,-51.4,58.0,0.41,-0.51,1.22,-1.45,16,98,42,-31.0,-20.43,137,187,26.5,6.1
rsi_divergence,1H,standard,True,False,swing,1574,44.7,39.78,-60.2,75.6,0.35,-0.36,1.446,-1.385,38,577,194,-27.7,-32.52,822,752,13.8,18.1
rsi_divergence,1H,confirmed,True,False,swing,858,44.6,89.54,-10.5,38.8,0.71,-0.6,1.543,-1.292,24,320,119,22.94,-33.4,438,420,14.3,17.9
