agent,tf,test_type,enabled,native,profile,total,wr,balance,return_pct,max_dd,avg_win,avg_loss,avg_win_pct,avg_loss_pct,max_losers_row,trailed_wins,trailed_losses,long_pnl,short_pnl,nlongs,nshorts,avg_bars,elapsed
bb_squeeze,5m,standard,False,True,momentum,321,46.1,84.56,-15.4,21.2,0.33,-0.38,0.673,-0.784,10,113,17,-1.22,-14.23,152,169,50.5,20.2
bb_squeeze,15m,standard,False,False,momentum,240,43.3,88.06,-11.9,14.5,0.34,-0.36,0.719,-0.761,11,86,19,-6.73,-5.21,130,110,15.5,20.1
bb_squeeze,15m,confirmed,False,False,momentum,235,43.0,87.46,-12.5,15.4,0.33,-0.36,0.709,-0.759,11,83,19,-7.16,-5.38,126,109,15.5,19.6
bb_squeeze,30m,standard,False,False,momentum,94,47.9,96.94,-3.1,5.2,0.33,-0.36,0.661,-0.73,7,36,8,-4.31,1.25,51,43,7.7,6.1
bb_squeeze,30m,confirmed,False,False,momentum,78,48.7,98.73,-1.3,5.2,0.35,-0.36,0.7,-0.725,5,31,8,-2.43,1.16,40,38,7.4,6.2
bb_squeeze,1H,standard,False,False,momentum,293,42.7,79.33,-20.7,22.8,0.26,-0.33,0.594,-0.736,13,90,24,-12.26,-8.41,166,127,3.8,18.8
bb_squeeze,1H,confirmed,False,False,momentum,272,43.4,81.39,-18.6,21.3,0.26,-0.33,0.589,-0.739,11,84,22,-11.33,-7.28,157,115,3.9,18.1
donchian,5m,standard,False,False,swing,2331,43.4,55.31,-44.7,62.4,0.8,-0.65,1.906,-1.548,16,988,294,0.13,-44.82,1062,1269,95.9,39.5
donchian,15m,standard,False,False,swing,2741,46.2,82.83,-17.2,64.0,0.63,-0.56,1.728,-1.516,17,1241,374,4.18,-21.35,1307,1434,30.4,40.6
donchian,15m,confirmed,False,False,swing,2530,46.6,111.36,11.4,51.6,0.76,-0.66,1.757,-1.522,13,1154,337,13.24,-1.88,1218,1312,30.5,40.4
donchian,30m,standard,False,False,swing,179,43.6,77.86,-22.1,24.0,0.62,-0.7,1.38,-1.562,12,66,21,-14.17,-7.97,89,90,21.1,2.3
donchian,30m,confirmed,False,False,swing,163,44.2,79.6,-20.4,23.1,0.61,-0.71,1.365,-1.584,12,64,18,-10.51,-9.89,74,89,20.9,2.4
donchian,1H,standard,False,False,swing,2513,44.4,14.13,-85.9,90.4,0.39,-0.37,1.492,-1.472,26,1093,394,-28.09,-57.78,1228,1285,6.8,36.7
donchian,1H,confirmed,False,False,swing,2466,44.6,16.55,-83.5,90.2,0.39,-0.38,1.493,-1.468,26,1078,388,-25.97,-57.48,1204,1262,6.8,36.4
ema_ribbon,5m,standard,False,True,momentum,28473,48.3,2.33,-97.7,99.4,0.34,-0.33,0.744,-0.758,25,10941,1898,91.72,-189.39,14562,13911,47.8,37.2
ema_ribbon,15m,standard,False,True,momentum,28352,46.9,0.0,-100.0,100.0,0.06,-0.06,0.652,-0.744,42,10582,2196,-46.25,-53.75,14326,14026,15.6,32.5
ema_ribbon,15m,confirmed,False,True,momentum,24867,46.7,0.0,-100.0,100.0,0.07,-0.07,0.648,-0.745,42,9273,1977,-47.96,-52.03,12691,12176,15.5,32.4
ema_ribbon,30m,standard,False,False,momentum,8848,46.7,1.69,-98.3,98.8,0.05,-0.06,0.582,-0.702,38,3127,645,-63.6,-34.7,4172,4676,8.1,10.1
ema_ribbon,30m,confirmed,False,False,momentum,6246,46.9,6.74,-93.3,95.7,0.06,-0.09,0.601,-0.71,29,2296,464,-56.94,-36.31,2602,3644,8.0,10.1
ema_ribbon,1H,standard,False,False,momentum,25259,46.1,0.0,-100.0,100.0,0.04,-0.04,0.625,-0.737,53,9134,2189,-57.63,-42.37,12192,13067,3.9,30.0
ema_ribbon,1H,confirmed,False,False,momentum,20649,46.0,0.0,-100.0,100.0,0.05,-0.05,0.633,-0.736,52,7575,1841,-55.44,-44.56,10081,10568,3.8,29.1
candlestick,5m,standard,True,False,swing,44,50.0,107.49,7.5,6.0,1.19,-0.84,2.286,-1.602,5,21,4,-0.22,7.71,18,26,95.0,24.0
candlestick,15m,standard,True,True,swing,105,38.1,83.2,-16.8,22.2,0.82,-0.76,1.873,-1.701,7,38,9,-15.11,-1.69,53,52,43.0,23.7
candlestick,30m,standard,True,False,swing,70,31.4,81.87,-18.1,19.9,0.72,-0.71,1.588,-1.548,10,19,8,-14.44,-3.69,40,30,19.1,7.4
candlestick,30m,confirmed,True,False,swing,3,0.0,97.76,-2.2,2.2,0.0,-0.75,0.0,-1.503,3,0,1,-2.24,0,3,0,17.7,7.5
candlestick,1H,standard,True,False,swing,279,40.9,58.71,-41.3,48.3,0.46,-0.57,1.368,-1.586,13,103,31,-17.41,-23.88,143,136,11.0,22.7
candlestick,1H,confirmed,True,False,swing,1,0.0,99.0,-1.0,1.0,0.0,-1.0,0.0,-2.0,1,0,0,0,-1.0,0,1,4.0,22.3
trend_pullback,5m,standard,True,False,trend_pullback,1030,63.3,78.5,-21.5,37.9,0.68,-1.26,1.339,-2.459,11,649,1,-39.97,18.47,523,507,204.4,43.9
trend_pullback,15m,standard,True,False,trend_pullback,1070,61.8,53.14,-46.9,53.0,0.57,-1.04,1.333,-2.472,15,654,1,-25.74,-21.12,573,497,80.3,42.7
trend_pullback,15m,confirmed,True,False,trend_pullback,522,60.9,66.59,-33.4,33.7,0.54,-1.02,1.324,-2.47,9,314,1,-12.46,-20.95,273,249,83.7,42.9
trend_pullback,30m,standard,True,False,trend_pullback,410,61.5,61.55,-38.5,45.6,0.46,-0.99,1.175,-2.479,10,251,0,-17.22,-21.23,167,243,44.4,13.9
trend_pullback,30m,confirmed,True,False,trend_pullback,182,63.7,88.03,-12.0,24.7,0.55,-1.15,1.214,-2.493,10,116,0,-7.36,-4.61,57,125,47.6,14.0
trend_pullback,1H,standard,True,False,trend_pullback,859,64.0,56.91,-43.1,68.4,0.41,-0.87,1.169,-2.437,13,548,1,10.98,-54.07,416,443,23.1,39.5
trend_pullback,1H,confirmed,True,False,trend_pullback,316,59.5,58.46,-41.5,50.6,0.42,-0.94,1.103,-2.436,10,187,1,-4.84,-36.7,153,163,22.8,38.8
daily_breakout,5m,standard,True,False,daily_breakout,936,66.0,122.43,22.4,55.9,0.87,-1.66,2.061,-3.855,7,615,5,10.36,12.07,467,469,319.9,24.1
daily_breakout,15m,standard,True,False,daily_breakout,989,67.6,183.73,83.7,54.7,1.8,-3.51,2.115,-3.898,12,667,5,-42.13,125.86,511,478,93.5,25.2
daily_breakout,15m,confirmed,True,False,daily_breakout,921,68.0,173.54,73.5,54.7,1.73,-3.43,2.069,-3.89,12,624,5,-17.09,90.64,475,446,96.3,25.5
daily_breakout,30m,standard,True,False,daily_breakout,181,64.1,73.84,-26.2,43.5,0.73,-1.71,1.737,-3.963,5,116,0,-34.47,8.31,76,105,59.4,4.1
daily_breakout,30m,confirmed,True,False,daily_breakout,169,65.1,80.16,-19.8,42.6,0.77,-1.77,1.761,-3.959,5,110,0,-29.31,9.47,64,105,57.5,4.3
daily_breakout,1H,standard,True,False,daily_breakout,909,73.9,2091.98,1992.0,50.2,14.3,-32.27,2.356,-3.825,12,670,7,-1117.8,3109.78,421,488,18.5,23.6
daily_breakout,1H,confirmed,True,False,daily_breakout,902,74.5,2409.77,2309.8,50.2,15.25,-34.65,2.356,-3.819,12,670,7,-1178.53,3488.3,419,483,18.6,24.2
daily_breakout_24h,5m,standard,True,False,daily_breakout_24h,2442,54.7,160.84,60.8,52.7,1.29,-1.51,2.151,-2.476,13,1083,1,14.76,46.07,1150,1292,185.8,27.6
daily_breakout_24h,15m,standard,True,False,daily_breakout_24h,2793,54.7,72.02,-28.0,77.4,0.77,-0.95,2.136,-2.578,20,1236,0,-47.13,19.15,1372,1421,59.4,29.5
daily_breakout_24h,15m,confirmed,True,False,daily_breakout_24h,2606,54.7,77.77,-22.2,74.2,0.81,-1.01,2.117,-2.552,18,1146,0,-37.93,15.7,1279,1327,59.9,29.2
daily_breakout_24h,30m,standard,True,False,daily_breakout_24h,530,52.6,62.66,-37.3,50.3,0.67,-0.89,1.735,-2.27,13,205,0,-45.73,8.39,246,284,34.6,4.6
daily_breakout_24h,30m,confirmed,True,False,daily_breakout_24h,485,52.8,62.98,-37.0,50.0,0.66,-0.9,1.718,-2.294,13,194,0,-44.97,7.94,204,281,34.0,4.6
daily_breakout_24h,1H,standard,True,False,daily_breakout_24h,2787,58.8,717.72,617.7,78.6,11.46,-15.86,2.079,-2.543,25,1378,1,-1703.09,2320.82,1467,1320,14.1,28.4
daily_breakout_24h,1H,confirmed,True,False,daily_breakout_24h,2724,59.4,1121.53,1021.5,77.7,14.05,-19.68,2.09,-2.536,25,1362,1,-1581.17,2602.7,1427,1297,14.1,24.9
supertrend,5m,standard,True,False,supertrend,1,0.0,98.5,-1.5,1.5,0.0,-1.5,0.0,-3.0,1,0,0,-1.5,0,1,0,365.0,20.5
supertrend,15m,standard,True,False,supertrend,4,100.0,100.34,0.3,0,0.09,0.0,0.17,0.0,0,4,0,0,0.34,0,4,49.0,20.0
supertrend,15m,confirmed,True,False,supertrend,4,100.0,100.34,0.3,0,0.09,0.0,0.17,0.0,0,4,0,0,0.34,0,4,49.0,20.1
supertrend,1H,standard,True,False,supertrend,1,100.0,103.66,3.7,0,3.66,0.0,7.313,0.0,0,1,0,0,3.66,0,1,1.0,18.3
supertrend,1H,confirmed,True,False,supertrend,1,100.0,103.66,3.7,0,3.66,0.0,7.313,0.0,0,1,0,0,3.66,0,1,1.0,18.4
volume_capitulation,5m,standard,True,False,volume_capitulation,16,75.0,101.93,1.9,1.1,0.41,-0.76,0.823,-1.5,1,12,0,2.44,-0.52,12,4,1.1,15.6
volume_capitulation,15m,standard,True,False,volume_capitulation,66,68.2,103.28,3.3,4.9,0.43,-0.76,0.848,-1.5,4,45,0,2.68,0.59,45,21,1.1,15.3
volume_capitulation,15m,confirmed,True,False,volume_capitulation,3,100.0,100.4,0.4,0,0.13,0.0,0.27,0.0,0,3,0,0,0.4,0,3,1.0,15.2
volume_capitulation,30m,standard,True,False,volume_capitulation,12,58.3,100.1,0.1,1.6,0.49,-0.67,0.99,-1.337,2,7,0,-0.51,0.61,7,5,2.0,1.0
volume_capitulation,30m,confirmed,True,False,volume_capitulation,1,0.0,99.25,-0.7,0.8,0.0,-0.75,0.0,-1.5,1,0,0,0,-0.75,0,1,2.0,1.0
volume_capitulation,1H,standard,True,False,volume_capitulation,296,79.1,185.81,85.8,14.3,0.63,-1.08,0.905,-1.5,15,234,0,71.8,14.0,202,94,1.1,13.4
volume_capitulation,1H,confirmed,True,False,volume_capitulation,2,100.0,100.77,0.8,0,0.38,0.0,0.766,0.0,0,2,0,0.02,0.75,1,1,1.0,13.5
pump_dump_reversal,5m,standard,True,False,pump_dump_reversal,2,0.0,96.04,-4.0,4.0,0.0,-1.98,0.0,-4.0,2,0,0,-3.96,0,2,0,1.0,8.3
